Edad Simple;Provincias;Sexo;Periodo;Total
0 años;02 Albacete;Hombres;1 de julio de 2020;1.475,500000
0 años;02 Albacete;Mujeres;1 de julio de 2020;1.352,500000
0 años;03 Alicante/Alacant;Hombres;1 de julio de 2020;6.962,000000
0 años;03 Alicante/Alacant;Mujeres;1 de julio de 2020;6.641,000000
0 años;04 Almería;Hombres;1 de julio de 2020;3.568,500000
0 años;04 Almería;Mujeres;1 de julio de 2020;3.437,000000
0 años;01 Araba/Álava;Hombres;1 de julio de 2020;1.305,000000
0 años;01 Araba/Álava;Mujeres;1 de julio de 2020;1.209,000000
0 años;33 Asturias;Hombres;1 de julio de 2020;2.551,000000
0 años;33 Asturias;Mujeres;1 de julio de 2020;2.456,000000
0 años;05 Ávila;Hombres;1 de julio de 2020;486,000000
0 años;05 Ávila;Mujeres;1 de julio de 2020;457,000000
0 años;06 Badajoz;Hombres;1 de julio de 2020;2.575,000000
0 años;06 Badajoz;Mujeres;1 de julio de 2020;2.460,500000
0 años;07 Balears, Illes;Hombres;1 de julio de 2020;4.911,500000
0 años;07 Balears, Illes;Mujeres;1 de julio de 2020;4.595,500000
0 años;08 Barcelona;Hombres;1 de julio de 2020;22.619,000000
0 años;08 Barcelona;Mujeres;1 de julio de 2020;21.643,000000
0 años;48 Bizkaia;Hombres;1 de julio de 2020;3.947,500000
0 años;48 Bizkaia;Mujeres;1 de julio de 2020;3.629,000000
0 años;09 Burgos;Hombres;1 de julio de 2020;1.187,500000
0 años;09 Burgos;Mujeres;1 de julio de 2020;1.080,000000
0 años;10 Cáceres;Hombres;1 de julio de 2020;1.240,500000
0 años;10 Cáceres;Mujeres;1 de julio de 2020;1.212,000000
0 años;11 Cádiz;Hombres;1 de julio de 2020;4.826,500000
0 años;11 Cádiz;Mujeres;1 de julio de 2020;4.605,500000
0 años;39 Cantabria;Hombres;1 de julio de 2020;1.757,500000
0 años;39 Cantabria;Mujeres;1 de julio de 2020;1.655,000000
0 años;12 Castellón/Castelló;Hombres;1 de julio de 2020;2.265,000000
0 años;12 Castellón/Castelló;Mujeres;1 de julio de 2020;2.079,500000
0 años;13 Ciudad Real;Hombres;1 de julio de 2020;1.779,000000
0 años;13 Ciudad Real;Mujeres;1 de julio de 2020;1.653,000000
0 años;14 Córdoba;Hombres;1 de julio de 2020;3.014,000000
0 años;14 Córdoba;Mujeres;1 de julio de 2020;2.884,500000
0 años;15 Coruña, A;Hombres;1 de julio de 2020;3.365,500000
0 años;15 Coruña, A;Mujeres;1 de julio de 2020;3.216,000000
0 años;16 Cuenca;Hombres;1 de julio de 2020;664,000000
0 años;16 Cuenca;Mujeres;1 de julio de 2020;640,000000
0 años;20 Gipuzkoa;Hombres;1 de julio de 2020;2.587,500000
0 años;20 Gipuzkoa;Mujeres;1 de julio de 2020;2.509,500000
0 años;17 Girona;Hombres;1 de julio de 2020;3.248,000000
0 años;17 Girona;Mujeres;1 de julio de 2020;3.127,500000
0 años;18 Granada;Hombres;1 de julio de 2020;3.701,500000
0 años;18 Granada;Mujeres;1 de julio de 2020;3.661,000000
0 años;19 Guadalajara;Hombres;1 de julio de 2020;1.027,000000
0 años;19 Guadalajara;Mujeres;1 de julio de 2020;1.011,500000
0 años;21 Huelva;Hombres;1 de julio de 2020;2.215,500000
0 años;21 Huelva;Mujeres;1 de julio de 2020;2.145,000000
0 años;22 Huesca;Hombres;1 de julio de 2020;811,500000
0 años;22 Huesca;Mujeres;1 de julio de 2020;738,500000
0 años;23 Jaén;Hombres;1 de julio de 2020;2.385,500000
0 años;23 Jaén;Mujeres;1 de julio de 2020;2.242,000000
0 años;24 León;Hombres;1 de julio de 2020;1.225,500000
0 años;24 León;Mujeres;1 de julio de 2020;1.113,000000
0 años;25 Lleida;Hombres;1 de julio de 2020;1.767,000000
0 años;25 Lleida;Mujeres;1 de julio de 2020;1.716,500000
0 años;27 Lugo;Hombres;1 de julio de 2020;894,000000
0 años;27 Lugo;Mujeres;1 de julio de 2020;824,000000
0 años;28 Madrid;Hombres;1 de julio de 2020;28.139,000000
0 años;28 Madrid;Mujeres;1 de julio de 2020;26.359,500000
0 años;29 Málaga;Hombres;1 de julio de 2020;6.581,000000
0 años;29 Málaga;Mujeres;1 de julio de 2020;6.333,500000
0 años;30 Murcia;Hombres;1 de julio de 2020;7.216,500000
0 años;30 Murcia;Mujeres;1 de julio de 2020;6.680,000000
0 años;31 Navarra;Hombres;1 de julio de 2020;2.687,000000
0 años;31 Navarra;Mujeres;1 de julio de 2020;2.530,500000
0 años;32 Ourense;Hombres;1 de julio de 2020;754,000000
0 años;32 Ourense;Mujeres;1 de julio de 2020;682,000000
0 años;34 Palencia;Hombres;1 de julio de 2020;510,000000
0 años;34 Palencia;Mujeres;1 de julio de 2020;470,000000
0 años;35 Palmas, Las;Hombres;1 de julio de 2020;3.699,000000
0 años;35 Palmas, Las;Mujeres;1 de julio de 2020;3.601,000000
0 años;36 Pontevedra;Hombres;1 de julio de 2020;2.927,500000
0 años;36 Pontevedra;Mujeres;1 de julio de 2020;2.841,500000
0 años;26 Rioja, La;Hombres;1 de julio de 2020;1.188,000000
0 años;26 Rioja, La;Mujeres;1 de julio de 2020;1.160,500000
0 años;37 Salamanca;Hombres;1 de julio de 2020;977,000000
0 años;37 Salamanca;Mujeres;1 de julio de 2020;919,500000
0 años;38 Santa Cruz de Tenerife;Hombres;1 de julio de 2020;3.280,000000
0 años;38 Santa Cruz de Tenerife;Mujeres;1 de julio de 2020;3.113,500000
0 años;40 Segovia;Hombres;1 de julio de 2020;487,000000
0 años;40 Segovia;Mujeres;1 de julio de 2020;508,000000
0 años;41 Sevilla;Hombres;1 de julio de 2020;8.203,000000
0 años;41 Sevilla;Mujeres;1 de julio de 2020;7.674,000000
0 años;42 Soria;Hombres;1 de julio de 2020;318,000000
0 años;42 Soria;Mujeres;1 de julio de 2020;270,000000
0 años;43 Tarragona;Hombres;1 de julio de 2020;3.228,000000
0 años;43 Tarragona;Mujeres;1 de julio de 2020;3.123,500000
0 años;44 Teruel;Hombres;1 de julio de 2020;473,000000
0 años;44 Teruel;Mujeres;1 de julio de 2020;494,000000
0 años;45 Toledo;Hombres;1 de julio de 2020;2.825,000000
0 años;45 Toledo;Mujeres;1 de julio de 2020;2.679,500000
0 años;46 Valencia/València;Hombres;1 de julio de 2020;9.665,500000
0 años;46 Valencia/València;Mujeres;1 de julio de 2020;8.993,500000
0 años;47 Valladolid;Hombres;1 de julio de 2020;1.658,500000
0 años;47 Valladolid;Mujeres;1 de julio de 2020;1.620,000000
0 años;49 Zamora;Hombres;1 de julio de 2020;428,500000
0 años;49 Zamora;Mujeres;1 de julio de 2020;372,500000
0 años;50 Zaragoza;Hombres;1 de julio de 2020;3.594,500000
0 años;50 Zaragoza;Mujeres;1 de julio de 2020;3.357,000000
0 años;51 Ceuta;Hombres;1 de julio de 2020;441,500000
0 años;51 Ceuta;Mujeres;1 de julio de 2020;391,000000
0 años;52 Melilla;Hombres;1 de julio de 2020;555,000000
0 años;52 Melilla;Mujeres;1 de julio de 2020;522,000000
1 año;02 Albacete;Hombres;1 de julio de 2020;1.540,500000
1 año;02 Albacete;Mujeres;1 de julio de 2020;1.435,500000
1 año;03 Alicante/Alacant;Hombres;1 de julio de 2020;7.533,000000
1 año;03 Alicante/Alacant;Mujeres;1 de julio de 2020;7.002,500000
1 año;04 Almería;Hombres;1 de julio de 2020;3.831,500000
1 año;04 Almería;Mujeres;1 de julio de 2020;3.613,000000
1 año;01 Araba/Álava;Hombres;1 de julio de 2020;1.371,500000
1 año;01 Araba/Álava;Mujeres;1 de julio de 2020;1.302,500000
1 año;33 Asturias;Hombres;1 de julio de 2020;2.850,500000
1 año;33 Asturias;Mujeres;1 de julio de 2020;2.683,500000
1 año;05 Ávila;Hombres;1 de julio de 2020;509,000000
1 año;05 Ávila;Mujeres;1 de julio de 2020;485,500000
1 año;06 Badajoz;Hombres;1 de julio de 2020;2.690,000000
1 año;06 Badajoz;Mujeres;1 de julio de 2020;2.534,000000
1 año;07 Balears, Illes;Hombres;1 de julio de 2020;5.259,000000
1 año;07 Balears, Illes;Mujeres;1 de julio de 2020;4.930,500000
1 año;08 Barcelona;Hombres;1 de julio de 2020;23.856,000000
1 año;08 Barcelona;Mujeres;1 de julio de 2020;22.781,500000
1 año;48 Bizkaia;Hombres;1 de julio de 2020;4.090,500000
1 año;48 Bizkaia;Mujeres;1 de julio de 2020;3.888,500000
1 año;09 Burgos;Hombres;1 de julio de 2020;1.253,000000
1 año;09 Burgos;Mujeres;1 de julio de 2020;1.176,000000
1 año;10 Cáceres;Hombres;1 de julio de 2020;1.303,000000
1 año;10 Cáceres;Mujeres;1 de julio de 2020;1.269,000000
1 año;11 Cádiz;Hombres;1 de julio de 2020;5.250,500000
1 año;11 Cádiz;Mujeres;1 de julio de 2020;4.883,500000
1 año;39 Cantabria;Hombres;1 de julio de 2020;1.904,500000
1 año;39 Cantabria;Mujeres;1 de julio de 2020;1.833,500000
1 año;12 Castellón/Castelló;Hombres;1 de julio de 2020;2.403,500000
1 año;12 Castellón/Castelló;Mujeres;1 de julio de 2020;2.227,500000
1 año;13 Ciudad Real;Hombres;1 de julio de 2020;1.896,000000
1 año;13 Ciudad Real;Mujeres;1 de julio de 2020;1.769,000000
1 año;14 Córdoba;Hombres;1 de julio de 2020;3.134,500000
1 año;14 Córdoba;Mujeres;1 de julio de 2020;2.998,500000
1 año;15 Coruña, A;Hombres;1 de julio de 2020;3.631,500000
1 año;15 Coruña, A;Mujeres;1 de julio de 2020;3.374,000000
1 año;16 Cuenca;Hombres;1 de julio de 2020;712,000000
1 año;16 Cuenca;Mujeres;1 de julio de 2020;671,000000
1 año;20 Gipuzkoa;Hombres;1 de julio de 2020;2.747,500000
1 año;20 Gipuzkoa;Mujeres;1 de julio de 2020;2.618,500000
1 año;17 Girona;Hombres;1 de julio de 2020;3.431,000000
1 año;17 Girona;Mujeres;1 de julio de 2020;3.301,000000
1 año;18 Granada;Hombres;1 de julio de 2020;3.926,000000
1 año;18 Granada;Mujeres;1 de julio de 2020;3.741,000000
