"Manufacturer"|"Model"|"EngineCapacity"|"FuelType"|"MetricUrbanCold"|"MetricExtraUrban"|"MetricCombined"|"ImperialUrbanCold"|"ImperialExtraUrban"|"ImperialCombined"|"CO2gkm"|"FuelCost12000Miles"|"EuroStandard"|"NoiseLeveldBA"|"EmissionsCOmgkm"|"THCEmissionsmgkm"|"EmissionsNOxmgkm"|"THC+NOxEmissionsmgkm"|"ParticulatesNo_mgkm"|"Tipo"
"ABARTH"|"500, 2012 onwards"|1368|"Petrol"|7.9|4.9|6|35.8|57.6|47.1|139|1170|6|72.5|455|23|9|NA|NA|"Gasolina"
"ABARTH"|"500, 2012 onwards"|1368|"Petrol"|7.6|4.7|5.8|37.2|60.1|48.7|134|1131|6|73|445|25|22|NA|NA|"Gasolina"
"ABARTH"|"500, 2012 onwards"|1368|"Petrol"|7.9|4.9|6|35.8|57.6|47.1|139|1170|6|74|222|35|19|NA|NA|"Gasolina"
"ABARTH"|"500, 2012 onwards"|1368|"Petrol"|7.6|4.7|5.8|37.2|60.1|48.7|134|1131|6|73.5|439|34|37|NA|NA|"Gasolina"
"ABARTH"|"500, 2012 onwards"|1368|"Petrol"|7.9|4.9|6|35.8|57.6|47.1|139|1170|6|71.5|498|36|27|NA|NA|"Gasolina"
"ABARTH"|"500, 2012 onwards"|1368|"Petrol"|7.6|4.7|5.8|37.2|60.1|48.7|134|1131|6|74|423|35|28|NA|NA|"Gasolina"
"ABARTH"|"500, 2012 onwards"|1368|"Petrol"|8.2|5.1|6.2|34.4|55.4|45.6|145|1208|6|72.5|559|37|28|NA|NA|"Gasolina"
"ABARTH"|"500, 2012 onwards"|1368|"Petrol"|8.2|5.1|6.2|34.4|55.4|45.6|145|1208|6|72.5|486|20|19|NA|NA|"Gasolina"
"ABARTH"|"New Abarth 595, 2016 Onwards"|1368|"Petrol"|7.9|4.9|6|35.8|57.6|47.1|139|1170|6|73.5|350|18|5|NA|NA|"Gasolina"
"ABARTH"|"New Abarth 595, 2016 Onwards"|1368|"Petrol"|7.9|4.9|6|35.8|57.6|47.1|139|1170|6|73.5|517|27|7|NA|NA|"Gasolina"
"ABARTH"|"New Abarth 595, 2016 Onwards"|1368|"Petrol"|7.9|4.9|6|35.8|57.6|47.1|139|1170|6|71.5|498|36|27|NA|NA|"Gasolina"
"ALFA ROMEO"|"Alfa 4C Spider, September 2015 on"|1742|"Petrol"|10.1|5.1|6.9|28|55.4|40.9|161|1347|6|71.4|404|44|38|NA|NA|"Gasolina"
"ALFA ROMEO"|"Alfa 4C, April 2014 on"|1742|"Petrol"|9.8|5|6.8|28.8|56.5|41.5|157|1328|6|71.4|404|44|38|NA|NA|"Gasolina"
"ALFA ROMEO"|"Giulietta"|1368|"Petrol"|8.1|5.1|6.2|34.9|55.4|45.6|144|1208|6|73|279|38|20|NA|NA|"Gasolina"
"ALFA ROMEO"|"Giulietta"|1368|"Petrol"|7.4|4.4|5.5|38.2|64.2|51.4|127|1072|6|72.5|466|44|35|NA|NA|"Gasolina"
"ALFA ROMEO"|"Giulietta"|1368|"Petrol"|6.3|4.1|4.9|44.8|68.9|57.6|114|957|6|70.5|318|50|39|NA|NA|"Gasolina"
"ALFA ROMEO"|"Giulietta"|1598|"Diesel"|4.7|3.2|3.8|60.1|88.3|74.3|99|749|6|72|251|NA|21|79|0.5|"Diesel"
"ALFA ROMEO"|"Giulietta"|1598|"Diesel"|4.7|3.2|3.8|60.1|88.3|74.3|99|749|6|74|117|NA|62|89|0.3|"Diesel"
"ALFA ROMEO"|"Giulietta"|1742|"Petrol"|9.5|5.2|6.8|29.7|54.3|41.5|157|1328|6|70|408|43|20|NA|NA|"Gasolina"
"ALFA ROMEO"|"Giulietta"|1956|"Diesel"|5|3.7|4.2|56.5|76.3|67.3|110|827|6|74|239|NA|46|113|0.8|"Diesel"
"ALFA ROMEO"|"Giulietta"|1956|"Diesel"|5.1|3.8|4.3|55.4|74.3|65.7|113|847|6|72|124|NA|34|75|0.3|"Diesel"
"ALFA ROMEO"|"MiTo, 2012 onwards"|1368|"Petrol"|7.3|4.6|5.6|38.7|61.4|50.4|130|1093|6|73|337|48|37|NA|NA|"Gasolina"
"ALFA ROMEO"|"MiTo, 2012 onwards"|1368|"Petrol"|7|4.4|5.4|40.4|64.2|52.3|124|1053|6|73.5|364|44|33|NA|NA|"Gasolina"
"ALFA ROMEO"|"MiTo, 2012 onwards"|1368|"Petrol"|7|4.4|5.4|40.4|64.2|52.3|124|1053|6|73.5|364|44|33|NA|NA|"Gasolina"
"ALFA ROMEO"|"MiTo, 2012 onwards"|875|"Petrol"|5|3.8|4.2|56.5|74.3|67.3|99|819|6|74|316|41|34|NA|NA|"Gasolina"
"ASTON MARTIN LAGONDA"|"DB9 GT, MY2016"|5935|"Petrol"|21.1|9.8|14|13.4|28.8|20.2|325|2728|6|72|237|52|31|NA|NA|"Gasolina"
"ASTON MARTIN LAGONDA"|"DB9 MY2015, from May 2014"|5935|"Petrol"|21.1|9.8|14|13.4|28.8|20.2|325|2728|6|72|237|52|31|NA|NA|"Gasolina"
"ASTON MARTIN LAGONDA"|"Rapide S MY2015, from Sept 2014"|5935|"Petrol"|19.5|9.1|12.9|14.5|31|21.9|300|2516|6|71|151|47|18|NA|NA|"Gasolina"
"ASTON MARTIN LAGONDA"|"Rapide S, MY2016"|5935|"Petrol"|19.5|9.1|12.9|14.5|31|21.9|300|2516|6|71|151|47|18|NA|NA|"Gasolina"
"ASTON MARTIN LAGONDA"|"V12 Vantage S MY2015, from March 2014"|5935|"Petrol"|22.5|10.2|14.7|12.6|27.7|19.2|343|2870|6|74|271|47|23|NA|NA|"Gasolina"
"ASTON MARTIN LAGONDA"|"V12 Vantage S, MY2016"|5935|"Petrol"|22.5|10.2|14.7|12.6|27.7|19.2|343|2870|6|74|271|47|23|NA|NA|"Gasolina"
"ASTON MARTIN LAGONDA"|"V8 Vantage/V8 Vantage S/N430, MY2016"|4735|"Petrol"|19.6|10.4|13.8|14.4|27.2|20.5|321|2688|6|75|588|50|37|NA|NA|"Gasolina"
"ASTON MARTIN LAGONDA"|"V8 Vantage/V8 Vantage S/N430, MY2016"|4735|"Petrol"|19|9.2|12.8|14.9|30.7|22.1|296|2493|6|74|529|44|14|NA|NA|"Gasolina"
"ASTON MARTIN LAGONDA"|"V8 Vantage/Vantage S/N430 MY2015, from May 2014"|4735|"Petrol"|19.6|10.4|13.8|14.4|27.2|20.5|321|2688|6|75|588|50|37|NA|NA|"Gasolina"
"ASTON MARTIN LAGONDA"|"V8 Vantage/Vantage S/N430 MY2015, from May 2014"|4735|"Petrol"|19|9.2|12.8|14.9|30.7|22.1|296|2493|6|74|529|44|14|NA|NA|"Gasolina"
"ASTON MARTIN LAGONDA"|"Vanquish MY2015, from Sept 2014"|5935|"Petrol"|19.3|9.1|12.8|14.6|31|22.1|298|2493|6|73|132|43|42|NA|NA|"Gasolina"
"ASTON MARTIN LAGONDA"|"Vanquish, MY2016"|5935|"Petrol"|19.3|9.1|12.8|14.6|31|22.1|298|2493|6|73|132|43|42|NA|NA|"Gasolina"
"ASTON MARTIN LAGONDA"|"Vantage GT12, MY2016"|5935|"Petrol"|21.6|10.1|14.3|13.1|28|19.8|332|2783|6|72.5|587|50|52|NA|NA|"Gasolina"
"AUDI"|"A1"|999|"Petrol"|5|3.7|4.2|56.5|76.3|67.3|97|819|6|69|211|61|21|NA|NA|"Gasolina"
"AUDI"|"A1"|999|"Petrol"|5|3.7|4.2|56.5|76.3|67.3|97|819|6|69|211|61|21|NA|NA|"Gasolina"
"AUDI"|"A1"|999|"Petrol"|5.1|3.8|4.3|55.4|74.3|65.7|98|839|6|69|211|61|21|NA|NA|"Gasolina"
"AUDI"|"A1"|999|"Petrol"|5.4|3.8|4.4|52.3|74.3|64.2|102|858|6|70|183|48|23|NA|NA|"Gasolina"
"AUDI"|"A1"|999|"Petrol"|5.4|3.8|4.4|52.3|74.3|64.2|102|858|6|70|183|48|23|NA|NA|"Gasolina"
"AUDI"|"A1"|999|"Petrol"|5.5|3.9|4.5|51.4|72.4|62.8|103|877|6|70|183|48|23|NA|NA|"Gasolina"
"AUDI"|"A1"|1395|"Petrol"|6.2|4.2|4.9|45.6|67.3|57.6|112|957|6|70|88|39|35|NA|NA|"Gasolina"
"AUDI"|"A1"|1395|"Petrol"|6.2|4.3|5|45.6|65.7|56.5|113|975|6|70|88|39|35|NA|NA|"Gasolina"
"AUDI"|"A1"|1395|"Petrol"|6.3|4.4|5.1|44.8|64.2|55.4|117|995|6|70|88|39|35|NA|NA|"Gasolina"
"AUDI"|"A1"|1395|"Petrol"|6.4|4.1|4.9|44.1|68.9|57.6|115|957|6|71|105|44|44|NA|NA|"Gasolina"
"AUDI"|"A1"|1395|"Petrol"|6.5|4.1|5|43.5|68.9|56.5|117|975|6|71|105|44|44|NA|NA|"Gasolina"
"AUDI"|"A1"|1395|"Petrol"|6.6|4.3|5.1|42.8|65.7|55.4|120|995|6|71|105|44|44|NA|NA|"Gasolina"
"AUDI"|"A1"|1395|"Petrol"|5.9|4.2|4.8|47.9|67.3|58.9|111|935|6|71|161|41|26|NA|NA|"Gasolina"
"AUDI"|"A1"|1395|"Petrol"|6.1|4.4|5|46.3|64.2|56.5|116|975|6|71|161|41|26|NA|NA|"Gasolina"
"AUDI"|"A1"|1395|"Petrol"|6|4.1|4.8|47.1|68.9|58.9|112|935|6|73|212|45|37|NA|NA|"Gasolina"
"AUDI"|"A1"|1395|"Petrol"|6.1|4.3|5|46.3|65.7|56.5|117|975|6|73|212|45|37|NA|NA|"Gasolina"
"AUDI"|"A1"|1598|"Diesel"|4.5|3.2|3.7|62.8|88.3|76.3|97|729|6|72|109|NA|36|73|0|"Diesel"
"AUDI"|"A1"|1598|"Diesel"|4.5|3.2|3.7|62.8|88.3|76.3|97|729|6|72|109|NA|36|73|0|"Diesel"
"AUDI"|"A1"|1598|"Diesel"|4.5|3.2|3.7|62.8|88.3|76.3|98|729|6|72|109|NA|36|73|0|"Diesel"
"AUDI"|"A1"|1598|"Diesel"|4.7|3.4|3.9|60.1|83.1|72.4|102|769|6|72|109|NA|36|73|0|"Diesel"
"AUDI"|"A1"|1598|"Diesel"|4.4|3.4|3.8|64.2|83.1|74.3|99|749|6|71|109|NA|27|66|0.19|"Diesel"
"AUDI"|"A1"|1598|"Diesel"|4.4|3.4|3.8|64.2|83.1|74.3|99|749|6|71|109|NA|27|66|0.19|"Diesel"
"AUDI"|"A1"|1598|"Diesel"|4.5|3.5|3.9|62.8|80.7|72.4|101|769|6|71|109|NA|27|66|0.19|"Diesel"
"AUDI"|"A1"|1598|"Diesel"|4.6|3.6|4|61.4|78.5|70.6|106|788|6|71|109|NA|27|66|0.19|"Diesel"
"AUDI"|"A1"|1984|"Petrol"|9.1|5.8|7|31|48.7|40.4|162|1364|6|75|472|42|18|NA|NA|"Gasolina"
"AUDI"|"A1"|1984|"Petrol"|9.2|5.9|7.2|30.7|47.9|39.2|166|1406|6|75|472|42|18|NA|NA|"Gasolina"
"AUDI"|"A1 Sportback"|999|"Petrol"|5|3.7|4.2|56.5|76.3|67.3|97|819|6|69|211|61|21|NA|NA|"Gasolina"
"AUDI"|"A1 Sportback"|999|"Petrol"|5|3.7|4.2|56.5|76.3|67.3|97|819|6|69|211|61|21|NA|NA|"Gasolina"
"AUDI"|"A1 Sportback"|999|"Petrol"|5.1|3.8|4.3|55.4|74.3|65.7|98|839|6|69|211|61|21|NA|NA|"Gasolina"
"AUDI"|"A1 Sportback"|999|"Petrol"|5.4|3.8|4.4|52.3|74.3|64.2|102|858|6|70|183|48|23|NA|NA|"Gasolina"
"AUDI"|"A1 Sportback"|999|"Petrol"|5.4|3.8|4.4|52.3|74.3|64.2|102|858|6|70|183|48|23|NA|NA|"Gasolina"
"AUDI"|"A1 Sportback"|999|"Petrol"|5.5|3.9|4.5|51.4|72.4|62.8|103|877|6|70|183|48|23|NA|NA|"Gasolina"
"AUDI"|"A1 Sportback"|1395|"Petrol"|6.2|4.2|4.9|45.6|67.3|57.6|112|957|6|70|88|39|35|NA|NA|"Gasolina"
"AUDI"|"A1 Sportback"|1395|"Petrol"|6.2|4.3|5|45.6|65.7|56.5|113|975|6|70|88|39|35|NA|NA|"Gasolina"
"AUDI"|"A1 Sportback"|1395|"Petrol"|6.3|4.4|5.1|44.8|64.2|55.4|117|995|6|70|88|39|35|NA|NA|"Gasolina"
"AUDI"|"A1 Sportback"|1395|"Petrol"|6.6|4.2|5.1|42.8|67.3|55.4|118|995|6|71|105|44|44|NA|NA|"Gasolina"
"AUDI"|"A1 Sportback"|1395|"Petrol"|6.6|4.2|5.1|42.8|67.3|55.4|119|995|6|71|105|44|44|NA|NA|"Gasolina"
"AUDI"|"A1 Sportback"|1395|"Petrol"|6.7|4.4|5.2|42.2|64.2|54.3|119|1015|6|71|105|44|44|NA|NA|"Gasolina"
"AUDI"|"A1 Sportback"|1395|"Petrol"|5.9|4.2|4.8|47.9|67.3|58.9|111|935|6|71|161|41|26|NA|NA|"Gasolina"
"AUDI"|"A1 Sportback"|1395|"Petrol"|6.1|4.4|5|46.3|64.2|56.5|116|975|6|71|161|41|26|NA|NA|"Gasolina"
"AUDI"|"A1 Sportback"|1395|"Petrol"|6|4.1|4.8|47.1|68.9|58.9|112|935|6|73|212|45|37|NA|NA|"Gasolina"
"AUDI"|"A1 Sportback"|1395|"Petrol"|6.1|4.3|5|46.3|65.7|56.5|117|975|6|73|212|45|37|NA|NA|"Gasolina"
"AUDI"|"A1 Sportback"|1598|"Diesel"|4.5|3.2|3.7|62.8|88.3|76.3|97|729|6|72|109|NA|36|73|0|"Diesel"
"AUDI"|"A1 Sportback"|1598|"Diesel"|4.5|3.2|3.7|62.8|88.3|76.3|97|729|6|72|109|NA|36|73|0|"Diesel"
"AUDI"|"A1 Sportback"|1598|"Diesel"|4.5|3.2|3.7|62.8|88.3|76.3|98|729|6|72|109|NA|36|73|0|"Diesel"
"AUDI"|"A1 Sportback"|1598|"Diesel"|4.7|3.4|3.9|60.1|83.1|72.4|102|769|6|72|109|NA|36|72|0|"Diesel"
"AUDI"|"A1 Sportback"|1598|"Diesel"|4.4|3.4|3.8|64.2|83.1|74.3|99|749|6|71|109|NA|27|66|0.19|"Diesel"
"AUDI"|"A1 Sportback"|1598|"Diesel"|4.4|3.4|3.8|64.2|83.1|74.3|99|749|6|71|109|NA|27|66|0.19|"Diesel"
"AUDI"|"A1 Sportback"|1598|"Diesel"|4.5|3.5|3.9|62.8|80.7|72.4|101|769|6|71|109|NA|27|66|0.19|"Diesel"
"AUDI"|"A1 Sportback"|1598|"Diesel"|4.6|3.6|4|61.4|78.5|70.6|106|788|6|71|109|NA|27|66|0.19|"Diesel"
"AUDI"|"A1 Sportback"|1984|"Petrol"|9.2|5.9|7.1|30.7|47.9|39.8|166|1384|6|75|472|42|18|NA|NA|"Gasolina"
"AUDI"|"A1 Sportback"|1984|"Petrol"|9.3|6|7.3|30.4|47.1|38.7|168|1424|6|75|472|42|18|NA|NA|"Gasolina"
"AUDI"|"A3 Cabriolet"|1395|"Petrol"|5.9|4.2|4.8|47.9|67.3|58.9|109|935|6|68|253|44|35|NA|NA|"Gasolina"
"AUDI"|"A3 Cabriolet"|1395|"Petrol"|6.1|4.4|5|46.3|64.2|56.5|115|975|6|68|253|44|35|NA|NA|"Gasolina"
"AUDI"|"A3 Cabriolet"|1395|"Petrol"|6.2|4.5|5.1|45.6|62.8|55.4|118|995|6|68|253|44|35|NA|NA|"Gasolina"
"AUDI"|"A3 Cabriolet"|1395|"Petrol"|6.3|4.6|5.2|44.8|61.4|54.3|119|1015|6|68|253|44|35|NA|NA|"Gasolina"
"AUDI"|"A3 Cabriolet"|1395|"Petrol"|5.9|4.1|4.8|47.9|68.9|58.9|110|935|6|70|276|57|42|NA|NA|"Gasolina"
"AUDI"|"A3 Cabriolet"|1395|"Petrol"|6.1|4.3|5|46.3|65.7|56.5|116|975|6|70|276|57|42|NA|NA|"Gasolina"
"AUDI"|"A3 Cabriolet"|1395|"Petrol"|6.2|4.4|5.1|45.6|64.2|55.4|118|995|6|70|276|57|42|NA|NA|"Gasolina"
"AUDI"|"A3 Cabriolet"|1395|"Petrol"|6.3|4.5|5.2|44.8|62.8|54.3|119|1015|6|70|276|57|42|NA|NA|"Gasolina"
"AUDI"|"A3 Cabriolet"|1598|"Diesel"|4.6|3.5|3.9|61.4|80.7|72.4|104|769|6|69|86|NA|43|75|0.11|"Diesel"
"AUDI"|"A3 Cabriolet"|1598|"Diesel"|4.8|3.7|4.1|58.9|76.3|68.9|110|808|6|69|86|NA|43|75|0.11|"Diesel"
"AUDI"|"A3 Cabriolet"|1598|"Diesel"|4.9|3.8|4.2|57.6|74.3|67.3|112|827|6|69|86|NA|43|75|0.11|"Diesel"
"AUDI"|"A3 Cabriolet"|1798|"Petrol"|8.3|5.8|6.7|34|48.7|42.2|157|1306|6|69|390|47|11|NA|NA|"Gasolina"
"AUDI"|"A3 Cabriolet"|1798|"Petrol"|8.4|5.9|6.8|33.6|47.9|41.5|158|1328|6|69|390|47|11|NA|NA|"Gasolina"
"AUDI"|"A3 Cabriolet"|1968|"Diesel"|5.5|4.3|4.7|51.4|65.7|60.1|124|926|6|72|80|NA|60|81|0|"Diesel"
"AUDI"|"A3 Cabriolet"|1968|"Diesel"|5.6|4.4|4.8|50.4|64.2|58.9|126|945|6|72|80|NA|60|81|0|"Diesel"
"AUDI"|"A3 Cabriolet"|1968|"Diesel"|5.7|4.5|4.9|49.6|62.8|57.6|127|966|6|72|80|NA|60|81|0|"Diesel"
"AUDI"|"A3 Cabriolet"|1968|"Diesel"|5.2|3.8|4.3|54.3|74.3|65.7|113|847|6|72|144|NA|66|102|0.08|"Diesel"
"AUDI"|"A3 Cabriolet"|1968|"Diesel"|5.3|3.9|4.4|53.3|72.4|64.2|115|867|6|72|144|NA|66|102|0.08|"Diesel"
"AUDI"|"A3 Cabriolet"|1968|"Diesel"|5.4|4|4.5|52.3|70.6|62.8|116|886|6|72|144|NA|66|102|0.08|"Diesel"
"AUDI"|"A3 Cabriolet"|1968|"Diesel"|5.3|3.9|4.4|53.3|72.4|64.2|117|867|6|72|128|NA|67|101|0|"Diesel"
"AUDI"|"A3 Cabriolet"|1968|"Diesel"|5.4|4|4.5|52.3|70.6|62.8|119|886|6|72|128|NA|67|101|0|"Diesel"
"AUDI"|"A3 Cabriolet"|1968|"Diesel"|5.5|4.1|4.6|51.4|68.9|61.4|121|906|6|72|128|NA|67|101|0|"Diesel"
"AUDI"|"A3 Cabriolet"|1968|"Diesel"|5.9|4.3|4.9|47.9|65.7|57.6|129|966|6|72|144|NA|73|109|0|"Diesel"
"AUDI"|"A3 Cabriolet"|1968|"Diesel"|6|4.4|5|47.1|64.2|56.5|131|985|6|72|144|NA|73|109|0|"Diesel"
"AUDI"|"A3 Cabriolet"|1968|"Diesel"|6.1|4.5|5.1|46.3|62.8|55.4|132|1004|6|72|144|NA|73|109|0|"Diesel"
"AUDI"|"A3 Cabriolet"|1968|"Diesel"|5.8|4.6|5|48.7|61.4|56.5|132|985|6|69|102|NA|59|87|0|"Diesel"
"AUDI"|"A3 Cabriolet"|1968|"Diesel"|5.9|4.7|5.1|47.9|60.1|55.4|134|1004|6|69|102|NA|59|87|0|"Diesel"
"AUDI"|"A3 Cabriolet"|1968|"Diesel"|6|4.8|5.2|47.1|58.9|54.3|135|1025|6|69|102|NA|59|87|0|"Diesel"
"AUDI"|"A3 Cabriolet"|1984|"Petrol"|8.8|6.1|7.1|32.1|46.3|39.8|164|1384|6|73|382|37|16|NA|NA|"Gasolina"
"AUDI"|"A3 Cabriolet"|1984|"Petrol"|8.9|6.2|7.2|31.7|45.6|39.2|165|1406|6|73|382|37|16|NA|NA|"Gasolina"
"AUDI"|"A3 Hatchback"|1197|"Petrol"|5.9|4.1|4.8|47.9|68.9|58.9|110|935|6|68|203|48|27|NA|NA|"Gasolina"
"AUDI"|"A3 Hatchback"|1197|"Petrol"|6.1|4.3|5|46.3|65.7|56.5|116|975|6|68|203|48|27|NA|NA|"Gasolina"
"AUDI"|"A3 Hatchback"|1197|"Petrol"|6.2|4.4|5.1|45.6|64.2|55.4|118|995|6|68|203|48|27|NA|NA|"Gasolina"
"AUDI"|"A3 Hatchback"|1197|"Petrol"|6.2|4.2|4.9|45.6|67.3|57.6|114|957|6|71|230|42|26|NA|NA|"Gasolina"
"AUDI"|"A3 Hatchback"|1197|"Petrol"|6.3|4.3|5|44.8|65.7|56.5|117|975|6|71|230|42|26|NA|NA|"Gasolina"
"AUDI"|"A3 Hatchback"|1197|"Petrol"|6.4|4.4|5.1|44.1|64.2|55.4|119|995|6|71|230|42|26|NA|NA|"Gasolina"
"AUDI"|"A3 Hatchback"|1395|"Petrol"|6|4.1|4.8|47.1|68.9|58.9|110|935|6|70|165|48|43|NA|NA|"Gasolina"
"AUDI"|"A3 Hatchback"|1395|"Petrol"|6.2|4.3|5|45.6|65.7|56.5|115|975|6|70|165|48|43|NA|NA|"Gasolina"
"AUDI"|"A3 Hatchback"|1395|"Petrol"|6.3|4.4|5.1|44.8|64.2|55.4|117|995|6|70|165|48|43|NA|NA|"Gasolina"
"AUDI"|"A3 Hatchback"|1395|"Petrol"|6.7|4.1|5.1|42.2|68.9|55.4|117|995|6|72|158|28|35|NA|NA|"Gasolina"
"AUDI"|"A3 Hatchback"|1395|"Petrol"|6.9|4.3|5.3|40.9|65.7|53.3|122|1034|6|72|158|28|35|NA|NA|"Gasolina"
"AUDI"|"A3 Hatchback"|1395|"Petrol"|7|4.4|5.4|40.4|64.2|52.3|124|1053|6|72|158|28|35|NA|NA|"Gasolina"
"AUDI"|"A3 Hatchback"|1395|"Petrol"|5.5|3.9|4.5|51.4|72.4|62.8|104|877|6|68|253|44|35|NA|NA|"Gasolina"
"AUDI"|"A3 Hatchback"|1395|"Petrol"|5.7|4.1|4.7|49.6|68.9|60.1|110|917|6|68|253|44|35|NA|NA|"Gasolina"
"AUDI"|"A3 Hatchback"|1395|"Petrol"|5.8|4.2|4.8|48.7|67.3|58.9|112|935|6|68|253|44|35|NA|NA|"Gasolina"
"AUDI"|"A3 Hatchback"|1395|"Petrol"|5.6|3.9|4.5|50.4|72.4|62.8|105|877|6|70|276|57|42|NA|NA|"Gasolina"
"AUDI"|"A3 Hatchback"|1395|"Petrol"|5.8|4.1|4.7|48.7|68.9|60.1|109|917|6|70|276|57|42|NA|NA|"Gasolina"
"AUDI"|"A3 Hatchback"|1395|"Petrol"|5.9|4.2|4.8|47.9|67.3|58.9|111|935|6|70|276|57|42|NA|NA|"Gasolina"
"AUDI"|"A3 Hatchback"|1598|"Diesel"|4.3|3.5|3.8|65.7|80.7|74.3|99|749|6|71|91|NA|37|71|0|"Diesel"
"AUDI"|"A3 Hatchback"|1598|"Diesel"|4.5|3.7|4|62.8|76.3|70.6|105|788|6|71|91|NA|37|71|0|"Diesel"
"AUDI"|"A3 Hatchback"|1598|"Diesel"|4.6|3.8|4.1|61.4|74.3|68.9|107|808|6|71|91|NA|37|71|0|"Diesel"
"AUDI"|"A3 Hatchback"|1598|"Diesel"|4.5|3.4|3.8|62.8|83.1|74.3|99|749|6|69|86|NA|43|75|0.11|"Diesel"
"AUDI"|"A3 Hatchback"|1598|"Diesel"|4.7|3.6|4|60.1|78.5|70.6|105|788|6|69|86|43|43|75|0.11|"Diesel"
"AUDI"|"A3 Hatchback"|1598|"Diesel"|4.8|3.7|4.1|58.9|76.3|68.9|107|808|6|69|86|NA|43|75|0.11|"Diesel"
"AUDI"|"A3 Hatchback"|1798|"Petrol"|8.2|5.7|6.6|34.4|49.6|42.8|153|1287|6|69|390|47|11|NA|NA|"Gasolina"
"AUDI"|"A3 Hatchback"|1968|"Diesel"|5.3|4.1|4.5|53.3|68.9|62.8|119|886|6|72|80|NA|60|81|0|"Diesel"
"AUDI"|"A3 Hatchback"|1968|"Diesel"|5.4|4.2|4.6|52.3|67.3|61.4|121|906|6|72|80|NA|60|81|0|"Diesel"
"AUDI"|"A3 Hatchback"|1968|"Diesel"|5|3.6|4.1|56.5|78.5|68.9|108|808|6|72|144|NA|66|102|0.08|"Diesel"
"AUDI"|"A3 Hatchback"|1968|"Diesel"|5.1|3.7|4.2|55.4|76.3|67.3|109|827|6|72|144|NA|66|102|0.08|"Diesel"
"AUDI"|"A3 Hatchback"|1968|"Diesel"|5.1|3.7|4.2|55.4|76.3|67.3|112|827|6|72|128|NA|67|101|0|"Diesel"
"AUDI"|"A3 Hatchback"|1968|"Diesel"|5.2|3.8|4.3|54.3|74.3|65.7|114|847|6|72|128|NA|67|101|0|"Diesel"
"AUDI"|"A3 Hatchback"|1968|"Diesel"|5.7|4.2|4.8|49.6|67.3|58.9|125|945|6|72|144|NA|73|109|0|"Diesel"
"AUDI"|"A3 Hatchback"|1968|"Diesel"|5.8|4.3|4.9|48.7|65.7|57.6|127|966|6|72|144|NA|73|109|0|"Diesel"
"AUDI"|"A3 Hatchback"|1968|"Diesel"|5.5|4.4|4.8|51.4|64.2|58.9|127|945|6|69|102|NA|59|87|0|"Diesel"
"AUDI"|"A3 Hatchback"|1968|"Diesel"|5.6|4.5|4.9|50.4|62.8|57.6|129|966|6|69|102|NA|59|87|0|"Diesel"
"AUDI"|"A3 Hatchback"|1984|"Petrol"|8.5|5.9|6.9|33.2|47.9|40.9|159|1347|6|73|382|37|16|NA|NA|"Gasolina"
"AUDI"|"A3 Hatchback"|1984|"Petrol"|8.5|5.9|6.9|33.2|47.9|40.9|159|1347|6|73|382|37|16|NA|NA|"Gasolina"
"AUDI"|"A3 Hatchback"|1984|"Petrol"|9.1|5.8|7|31|48.7|40.4|162|1364|6|72|330|44|16|NA|NA|"Gasolina"
"AUDI"|"A3 Hatchback"|1984|"Petrol"|9.2|5.9|7.1|30.7|47.9|39.8|164|1384|6|72|330|44|16|NA|NA|"Gasolina"
"AUDI"|"A3 Saloon"|1395|"Petrol"|5.8|4.1|4.7|48.7|68.9|60.1|110|917|6|68|253|44|35|NA|NA|"Gasolina"
"AUDI"|"A3 Saloon"|1395|"Petrol"|5.9|4.2|4.8|47.9|67.3|58.9|113|935|6|68|253|44|35|NA|NA|"Gasolina"
"AUDI"|"A3 Saloon"|1395|"Petrol"|6|4.3|4.9|47.1|65.7|57.6|114|957|6|68|253|44|35|NA|NA|"Gasolina"
"AUDI"|"A3 Saloon"|1395|"Petrol"|5.9|4.1|4.8|47.9|68.9|58.9|110|935|6|70|276|57|42|NA|NA|"Gasolina"
"AUDI"|"A3 Saloon"|1395|"Petrol"|6|4.2|4.9|47.1|67.3|57.6|112|957|6|70|276|57|42|NA|NA|"Gasolina"
"AUDI"|"A3 Saloon"|1395|"Petrol"|6.1|4.3|5|46.3|65.7|56.5|114|975|6|70|276|57|42|NA|NA|"Gasolina"
"AUDI"|"A3 Saloon"|1598|"Diesel"|4.4|3.6|3.9|64.2|78.5|72.4|104|769|6|71|91|NA|37|71|0|"Diesel"
"AUDI"|"A3 Saloon"|1598|"Diesel"|4.5|3.7|4|62.8|76.3|70.6|106|788|6|71|91|NA|37|71|0|"Diesel"
"AUDI"|"A3 Saloon"|1598|"Diesel"|4.6|3.5|3.9|61.4|80.7|72.4|104|769|6|69|86|NA|43|75|0.11|"Diesel"
"AUDI"|"A3 Saloon"|1598|"Diesel"|4.7|3.6|4|60.1|78.5|70.6|106|788|6|69|86|NA|43|75|0.11|"Diesel"
"AUDI"|"A3 Saloon"|1598|"Diesel"|5.5|4.3|4.7|51.4|65.7|60.1|127|926|6|71|107|NA|48|82|0.2|"Diesel"
